m,p,v
7,17,73
7,18,68
7,19,68
7,20,67
7,21,64
7,22,56
7,23,65
7,24,50
7,25,49
7,26,50
7,27,45
7,28,46
7,29,55
7,30,61
7,31,88
7,32,8
7,33,8
7,34,8
7,35,10
7,36,13
7,37,22
7,38,53
7,39,66
7,40,7
7,41,7
7,42,8
7,43,10
7,44,16
7,45,42
7,46,57
7,47,30
7,48,6
7,49,6
7,50,8
7,51,14
7,52,38
7,53,55
7,54,35
7,55,11
7,56,9
7,57,8
7,58,15
7,59,43
7,60,54
7,61,42
7,62,16
7,63,7

